Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
24292,6/3/10 6:24 PM,Thursday,Bus (Other),Bicycle,,Massachusetts Ave,Amherst St," Massachusetts Ave & Amherst St Cambridge, MA",42.358188,-71.093089,"(42.358188, -71.093089)"
24293,6/3/10 8:52 PM,Thursday,Auto,Bicycle,472,Massachusetts Ave,,"472 Massachusetts Ave Cambridge, MA",42.363773,-71.101286,"(42.363773, -71.101286)"
24297,6/4/10 2:49 PM,Friday,Auto,Bicycle,,Broadway,West Pl," Broadway & West Pl Cambridge, MA",42.37034,-71.103615,"(42.37034, -71.103615)"
24308,6/7/10 10:15 AM,Monday,Auto,Bicycle,,MAIN ST,Bishop Allen Dr," MAIN ST & Bishop Allen Dr Cambridge, MA",42.363333,-71.098364,"(42.363333, -71.098364)"
24310,6/7/10 7:12 PM,Monday,Auto,Bicycle,,Massachusetts Ave,FOREST ST," Massachusetts Ave & FOREST ST Cambridge, MA",42.38538,-71.119336,"(42.38538, -71.119336)"
24312,6/8/10 12:36 PM,,Auto,Bicycle,620,Massachusetts Ave,,"620 Massachusetts Ave Cambridge, MA",42.365024,-71.103402,"(42.365024, -71.103402)"
24326,6/10/10 6:56 PM,Thursday,Taxi,Bicycle,,Cambridgeside Pl,," Cambridgeside Pl &  Cambridge, MA",,,
24349,6/15/10 5:17 PM,Tuesday,Auto,Bicycle,319,Massachusetts Ave,,"319 Massachusetts Ave Cambridge, MA",42.36248,-71.09852,"(42.36248, -71.09852)"
24351,6/16/10 9:55 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,STATE ST," Massachusetts Ave & STATE ST Cambridge, MA",42.362647,-71.099069,"(42.362647, -71.099069)"
24353,6/16/10 5:49 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,"(42.36471, -71.102567)"
24357,6/11/10 12:14 PM,Friday,Auto,Bicycle,,Massachusetts Ave,GARDEN ST," Massachusetts Ave & GARDEN ST Cambridge, MA",42.375131,-71.119151,"(42.375131, -71.119151)"
24378,6/24/10 2:00 PM,Thursday,Auto,Bicycle,,HURON AVE,Appleton Pl," HURON AVE & Appleton Pl Cambridge, MA",42.381521,-71.134102,"(42.381521, -71.134102)"
24379,6/25/10 10:22 PM,Friday,Auto,Bicycle,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)"
24389,6/26/10 5:13 PM,Saturday,Auto,Bicycle,2161,Massachusetts Ave,,"2161 Massachusetts Ave Cambridge, MA",42.392537,-71.124399,"(42.392537, -71.124399)"
24402,6/30/10 12:49 PM,,Auto,Bicycle,,Massachusetts Ave,Inman St," Massachusetts Ave & Inman St Cambridge, MA",42.36659,-71.10568,"(42.36659, -71.10568)"
24410,7/2/10 4:50 PM,Friday,Auto,Bicycle,,Massachusetts Ave,DOVER ST," Massachusetts Ave & DOVER ST Cambridge, MA",42.394524,-71.127012,"(42.394524, -71.127012)"
24417,7/4/10 9:47 PM,Sunday,Auto,Bicycle,,Broadway,Columbia St," Broadway & Columbia St Cambridge, MA",42.367871,-71.09736,"(42.367871, -71.09736)"
24424,7/6/10 2:00 PM,,Auto,Bicycle,120,Vassar St,,"120 Vassar St Cambridge, MA",42.358848,-71.096286,"(42.358848, -71.096286)"
24425,7/6/10 5:13 PM,,Auto,Bicycle,,Sidney St,PACIFIC ST," Sidney St & PACIFIC ST Cambridge, MA",42.36036,-71.102479,"(42.36036, -71.102479)"
24430,7/8/10 2:49 PM,,Auto,Bicycle,,Massachusetts Ave,DAVENPORT ST," Massachusetts Ave & DAVENPORT ST Cambridge, MA",42.389419,-71.120032,"(42.389419, -71.120032)"
24436,7/9/10 9:07 AM,,Auto,Bicycle,1,Hampshire St,,"1 Hampshire St Cambridge, MA",42.365232,-71.090065,"(42.365232, -71.090065)"
24439,7/9/10 4:38 PM,,Auto,Bicycle,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,"(42.37275, -71.093288)"
24441,7/10/10 2:03 PM,,Auto,Bicycle,1899,Massachusetts Ave,,"1899 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,"(42.369202, -71.110689)"
24460,7/13/10 4:54 PM,,Auto,Bicycle,97A,Hampshire St,,"97A Hampshire St Cambridge, MA",42.369242,-71.09527,"(42.369242, -71.09527)"
24462,7/7/10 11:29 AM,,Auto,Bicycle,,Vassar St,Massachusetts Ave," Vassar St & Massachusetts Ave Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)"
24464,7/14/10 5:33 PM,,Auto,Bicycle,,GARDEN ST,Walden St," GARDEN ST & Walden St Cambridge, MA",42.385523,-71.132217,"(42.385523, -71.132217)"
24470,7/2/10 1:44 PM,,Auto,Bicycle,720,Massachusetts Ave,,"720 Massachusetts Ave Cambridge, MA",42.365955,-71.104965,"(42.365955, -71.104965)"
24474,7/13/10 6:01 PM,Tuesday,Auto,Bicycle,,Brattle St,HILLIARD ST," Brattle St & HILLIARD ST Cambridge, MA",42.374856,-71.122345,"(42.374856, -71.122345)"
24476,7/14/10 5:29 PM,Wednesday,Taxi,Bicycle,,Massachusetts Ave,HARVARD SQ," Massachusetts Ave & HARVARD SQ Cambridge, MA",42.374384,-71.118788,"(42.374384, -71.118788)"
24482,7/15/10 7:12 PM,Thursday,Auto,Bicycle,55-5,Columbia St,,"55-5 Columbia St Cambridge, MA",42.364856,-71.099155,"(42.364856, -71.099155)"
24484,7/16/10 5:29 PM,Friday,Auto,Bicycle,700,Massachusetts Ave,,"700 Massachusetts Ave Cambridge, MA",42.365901,-71.104876,"(42.365901, -71.104876)"
24496,7/18/10 12:14 PM,Sunday,Auto,Bicycle,,Massachusetts Ave,EXETER PARK," Massachusetts Ave & EXETER PARK Cambridge, MA",42.384803,-71.119405,"(42.384803, -71.119405)"
24498,7/19/10 6:20 PM,Monday,Auto,Bicycle,,PLYMOUTH ST,MOUNT AUBURN ST," PLYMOUTH ST & MOUNT AUBURN ST Cambridge, MA",42.371421,-71.117061,"(42.371421, -71.117061)"
24506,7/20/10 7:09 PM,Tuesday,Taxi,Bicycle,2067,Massachusetts Ave,,"2067 Massachusetts Ave Cambridge, MA",42.391469,-71.123101,"(42.391469, -71.123101)"
24544,7/30/10 5:48 PM,Friday,Auto,Bicycle,,Cambridge St,LINE ST," Cambridge St & LINE ST Cambridge, MA",42.374028,-71.103097,"(42.374028, -71.103097)"
24545,7/30/10 9:40 AM,Friday,Auto,Bicycle,,MEMORIAL DR,Vassar St," MEMORIAL DR & Vassar St Cambridge, MA",42.353438,-71.107141,"(42.353438, -71.107141)"
24549,7/21/10 5:20 PM,,Auto,Bicycle,689,Massachusetts Ave,,"689 Massachusetts Ave Cambridge, MA",42.365977,-71.104356,"(42.365977, -71.104356)"
24550,7/30/10 12:00 PM,Friday,Auto,Bicycle,,Cambridge St,Cardinal Medeiros Ave," Cambridge St & Cardinal Medeiros Ave Cambridge, MA",42.372123,-71.088456,"(42.372123, -71.088456)"
24558,8/2/10 8:39 AM,Monday,Auto,Bicycle,,ELIOT ST,JFK St," ELIOT ST & JFK St Cambridge, MA",42.371416,-71.121105,"(42.371416, -71.121105)"
24580,8/7/10 6:00 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,"(42.36471, -71.102567)"
24593,8/11/10 5:23 PM,Wednesday,Auto,Bicycle,,Broadway,HANCOCK ST," Broadway & HANCOCK ST Cambridge, MA",42.37132,-71.106094,"(42.37132, -71.106094)"
24610,8/13/10 6:30 PM,Friday,Auto,Bicycle,,Massachusetts Ave,Albany St," Massachusetts Ave & Albany St Cambridge, MA",42.360828,-71.096012,"(42.360828, -71.096012)"
24613,8/14/10 8:45 AM,Saturday,Auto,Bicycle,,Concord Ave,Bond St," Concord Ave & Bond St Cambridge, MA",42.380394,-71.127504,"(42.380394, -71.127504)"
24616,8/14/10 7:57 PM,Saturday,Auto,Bicycle,1008,Massachusetts Ave,,"1008 Massachusetts Ave Cambridge, MA",42.369244,-71.111345,"(42.369244, -71.111345)"
24635,8/20/10 7:40 AM,Friday,Auto,Bicycle,69,Sixth St,,"69 Sixth St Cambridge, MA",42.369353,-71.085434,"(42.369353, -71.085434)"
24637,8/20/10 8:55 AM,Friday,Auto,Bicycle,,GARDEN ST,Appian Way," GARDEN ST & Appian Way Cambridge, MA",42.375974,-71.120983,"(42.375974, -71.120983)"
24659,8/25/10 8:22 PM,Wednesday,Auto,Bicycle,,Cambridge St,HARDING ST," Cambridge St & HARDING ST Cambridge, MA",42.372409,-71.090656,"(42.372409, -71.090656)"
24670,8/26/10 2:42 PM,Thursday,Auto,Bicycle,,QUINCY ST,Cambridge St," QUINCY ST & Cambridge St Cambridge, MA",42.375474,-71.114321,"(42.375474, -71.114321)"
24675,8/26/10 2:49 PM,Thursday,Auto,Bicycle,,Inman St,West St," Inman St & West St Cambridge, MA",42.369399,-71.10339,"(42.369399, -71.10339)"
24679,8/27/10 3:30 PM,Friday,Auto,Bicycle,,Brattle St,MOUNT AUBURN ST," Brattle St & MOUNT AUBURN ST Cambridge, MA",42.375282,-71.145695,"(42.375282, -71.145695)"
24680,8/27/10 4:05 PM,Friday,Auto,Bicycle,,Broadway,PRESCOTT ST," Broadway & PRESCOTT ST Cambridge, MA",42.374368,-71.113638,"(42.374368, -71.113638)"
24688,8/30/10 3:14 PM,Monday,Auto,Bicycle,2000,Massachusetts Ave,,"2000 Massachusetts Ave Cambridge, MA",42.390338,-71.121411,"(42.390338, -71.121411)"
24692,8/31/10 4:09 PM,Tuesday,Auto,Bicycle,,Cambridge St,Ellsworth Ave," Cambridge St & Ellsworth Ave Cambridge, MA",42.374407,-71.106082,"(42.374407, -71.106082)"
24694,8/30/10 11:03 PM,Monday,Auto,Bicycle,,Massachusetts Ave,Albany St," Massachusetts Ave & Albany St Cambridge, MA",42.360828,-71.096012,"(42.360828, -71.096012)"
24698,8/31/10 6:45 AM,Tuesday,Auto,Bicycle,,GARDEN ST,MASON ST," GARDEN ST & MASON ST Cambridge, MA",42.376564,-71.122185,"(42.376564, -71.122185)"
24717,9/3/10 2:48 PM,Friday,Auto,Bicycle,1033,Massachusetts Ave,,"1033 Massachusetts Ave Cambridge, MA",42.369697,-71.11193,"(42.369697, -71.11193)"
24720,9/4/10 12:00 PM,Saturday,Auto,Bicycle,34,KINNAIRD ST,,"34 KINNAIRD ST Cambridge, MA",42.365688,-71.109017,"(42.365688, -71.109017)"
